产品编号,产品名称,英文名称,当前阶段,状态
1,可舔食润滑油,Edible Lubricant,包材生产 + FDA列名,推进中
2,双层包胶兔子振动棒,Dual-layer Silicone Rabbit Vibrator,模具开发,模具阶段
3,指套震动玩具,Finger Vibrator Toy,结构开发 + 开模,开发中

任务编号,产品编号,里程碑,描述,开始日期,预计完成日期,实际完成日期,状态,备注
T1.1,1,签订合同 & 付款定金,50% 定金已付,2026-05-12,2026-05-12,2026-05-12,已完成,
T1.2,1,供应商确认下单,已反馈生产周期,2026-05-15,2026-05-15,2026-05-15,已完成,
T1.3,1,FDA 列名申请,预计 7-10 天获批,2026-05-15,2026-05-15,2026-05-15,已申请,
T1.4,1,FDA 列名审批通过,等待审批结果,2026-05-22,2026-05-25,,等待中,⚠️ 审批延迟会直接影响出货节奏
T1.5,1,软管包材生产完成,生产周期约 28 天,2026-05-15,2026-06-12,,进行中,建议每周确认一次
T1.6,1,液体调制 + 装瓶打包出货,包材到位后约 7 天,2026-06-12,2026-06-19,,待开始,
T1.7,1,申请第5类商标,出货后第一时间提交,2026-06-19,,待开始,🚨 品牌保护 重要事项
T2.1,2,合同签订 & 模具定金,模具费用已付,2026-05-14,2026-05-14,2026-05-14,已完成,
T2.2,2,模具开发,预计一个月内出模具,2026-05-14,2026-06-14,,进行中,5月底建议跟进一次
T2.3,2,大货生产完成,供应商承诺出货日,2026-06-14,2026-06-24,,待开始,模具到大货仅10天窗口
T3.1,3,内部结构设计 & 钢丝开模,核心结构件需新开模具,,2026-05-25,,进行中,最早开发阶段
T3.2,3,样品确认 & 反馈,,,,待开始,待出样后排期
T3.3,3,开大货模具 & 生产,,,,待开始,待样品确认后排期
